,Tweet,Date,Time
39,TELL US THAT BLACK LIVES MATTER IN PIERCE COUNTY.',2021-03-03,23:44:19
40,New study finds about 300 fewer police killings in cities where Black Lives Matter protests happened https://t.co/mXttT570k4',2021-03-03,23:43:47
41,RT @SophiaTesfaye: Killings by Police Declined after Black Lives Matter Protests https://t.co/hT1JeEcOlH',2021-03-03,23:43:43
42,"RT @PokerPolitics: Remember when QAnon went on that weeklong crusade against dancing nurses? Well now it's back but this time it's for poli\xe2\x80\xa6""",2021-03-03,23:43:19
43,RT @NavaBe2: \xe2\x80\x9cOur youth/ modern day monster slayers have been proactive in centering Black and Afro Indigenous voices. \xe2\x80\x9cBlack Lives Matter\xe2\x80\x9d\xe2\x80\xa6',2021-03-03,23:42:54
44,"RT @scobie: 10,000 formal complaints (and thousands of furious tweets) over a dance performance supporting the Black Lives Matter movement\xe2\x80\xa6'",2021-03-03,23:42:39
45,@turnerdetails @mks4only black lives matter??',2021-03-03,23:42:01
46,"Black lives matter up until they cast that vote. Then these fucks don't care https://t.co/AUg1sZnJfB""",2021-03-03,23:41:56
47,"@common This is why I say what I say. And I'd say it again. Black lives matter. https://t.co/nuhZvkwbDW""",2021-03-03,23:41:43
48,"RT @JoshuaSimonSays: If Dr. Seuss were alive today he\'d just be writing shit like\n\n""Black Lives Matter, \nShnack Lives Matter, \nEven Tanzifi\xe2\x80\xa6'",2021-03-03,23:41:40
49,"Always excited to share at the @acuiconference! Today, @Simply_Tari77 and I led a conversation regarding the Black\xe2\x80\xa6 https://t.co/rueZzoOS0D'",2021-03-03,23:41:37
50,RT @JARTRANADA: leave black people and the black lives matter movement out of this. they don\xe2\x80\x99t owe us anything.\n\ny\xe2\x80\x99all tweet out \xe2\x80\x9cpoc solid\xe2\x80\xa6',2021-03-03,23:41:31
51,Black lives matter they dont say that when we kill each other',2021-03-03,23:41:31
52,This former employee desperately needs our support.\n\nDelta Airlines FIRES Lady MAGA after they supported Black Live\xe2\x80\xa6 https://t.co/uNpkoKK5Zk',2021-03-03,23:41:31
53,I cannot stop reading this... white privilege is real and Black Lives Matter',2021-03-03,23:41:07
54,"@DustinGinsberg @AaronParseghian Imagine believing that Black Lives Matter, but voting for the guy that fought to k\xe2\x80\xa6 https://t.co/nyPuIrgcmA'",2021-03-03,23:40:18
55,Black Lives Matter | Toonami https://t.co/cDbydrPmpq via @YouTube',2021-03-03,23:40:10
56,@johnpaultheok @ProLifeAll @Bishopoftyler Yes. @Bishopoftyler take off the tin foil hat and join the faithful. Blac\xe2\x80\xa6 https://t.co/x1SDua5iZv',2021-03-03,23:38:27
57,"Delta Airlines proffered support for the Black Lives Matter riots last summer, even flying BLM iconography outside\xe2\x80\xa6 https://t.co/OVEi4GwPiv'",2021-03-03,23:38:07
58,@RepValDemings @HouseJudiciary Black lives matter to me! I despise the racism that is plaguing the United States an\xe2\x80\xa6 https://t.co/ymnVzdW1Sf',2021-03-03,23:37:01
59,RT @gab_chase: A Kerline chamando a Thelma pra festa Black Lives Matter \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',2021-03-03,23:36:10
60,"@Red_Rigger @RealCandaceO So Black Lives Matter, Antifa, Democrats conspired to keep trump in office ok'",2021-03-03,23:36:03
61,"I tweet about disability advocacy and activism, general progressive politics (Black Lives Matter, period), writing\xe2\x80\xa6 https://t.co/xxEB82g0HV'",2021-03-03,23:34:57
62,Killings by Police Declined after Black Lives Matter Protests https://t.co/GKyFVI9nr6 via @sciam',2021-03-03,23:34:42
63,"'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, deman\xe2\x80\xa6 https://t.co/Gih0Wf40Cb""",2021-03-03,23:34:14
64,@NoxVitask @NotLoBassMusic hope this helps \nhttps://t.co/1jupyKhUJQ',2021-03-03,23:33:55
65,de fund the poleece --listen to black lives matter--you get lawless donuts\nhttps://t.co/hJoL7syIHe',2021-03-03,23:33:50
66,frank grillo really said \xe2\x80\x9citalian lives matter also fuck black people\xe2\x80\x9d yeah he\xe2\x80\x99s going straight to hell',2021-03-03,23:33:37
67,A Kerline chamando a Thelma pra festa Black Lives Matter \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/GdOE8G6efa',2021-03-03,23:33:33
68,RT @shittyvegan69: Check out this Etsy shop if you need some Black Lives Matter stickers or tees! They have dye cut vinyl stickers &amp; some o\xe2\x80\xa6',2021-03-03,23:32:43
69,RT @itcstudioart: ITC\xe2\x80\x99s t-shirt design competition to support cultural pride and remind everyone that Black Lives Matter @syracuseITC. Stud\xe2\x80\xa6',2021-03-03,23:32:26
70,"'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, deman\xe2\x80\xa6 https://t.co/MOSxWCpjmJ""",2021-03-03,23:31:32
71,He doesnt see race doesnt see color says he isnt racist cuz he has a Black wife child &amp; or friend Says ee all have\xe2\x80\xa6 https://t.co/IcG0TqiN0g',2021-03-03,23:30:18
72,@missafterglow SO THE MINECRAFT BANNER SAYS BLACK LIVES MATTER AND EMMA READ IT AND I SAID YES FUCK HOMOPHOBES AND\xe2\x80\xa6 https://t.co/DL6lCq57tQ',2021-03-03,23:29:38
73,Let\xe2\x80\x99s create a fake Black Lives Matter scenario except the reaction you want doesn\xe2\x80\x99t go as planned \xf0\x9f\x96\x95\xf0\x9f\x8f\xbd',2021-03-03,23:29:20
74,"RT @usccbp: Please remember that we are not real bishops! Real bishops don't say Black Lives Matter or queer lives are holy or what do you\xe2\x80\xa6""",2021-03-03,23:29:13
75,"RT @theblaze: 'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, demands $20 mil\xe2\x80\xa6""",2021-03-03,23:28:48
76,ITC\xe2\x80\x99s t-shirt design competition to support cultural pride and remind everyone that Black Lives Matter @syracuseITC\xe2\x80\xa6 https://t.co/eAlx9fMjxU',2021-03-03,23:28:37
77,"Black lives matter doesn't care about black lives!""",2021-03-03,23:28:09
78,"Please remember that we are not real bishops! Real bishops don't say Black Lives Matter or queer lives are holy or\xe2\x80\xa6 https://t.co/2BXiarNA0G""",2021-03-03,23:28:08
79,Lmao they have \xe2\x80\x9cAll Black Lives Matter\xe2\x80\x9d written on Hollywood Blvd but \xe2\x80\x9call\xe2\x80\x9d is in blue \xf0\x9f\x98\x82',2021-03-03,23:28:06
80,"@Donnz399 GOP doesn't think Black Lives Matter. This is their thinking/strategy and why a majority of states filed\xe2\x80\xa6 https://t.co/EFG0zkNBKW""",2021-03-03,23:27:44
81,@ImaniTracy @tee_coley @PIC_Petrone @collinslove71 @Sunshin21176498 @SportsCenter @KingJames If the Canadian Prime\xe2\x80\xa6 https://t.co/f3BA71Es3b',2021-03-03,23:27:35
82,RT @nicholasibekwe: Chris Oyakhilome has dropped another one:\n\nThe Black Lives Matter protests in the US are not about racism but a ploy to\xe2\x80\xa6',2021-03-03,23:27:00
83,"'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, deman\xe2\x80\xa6 https://t.co/R1ljTYWtbm""",2021-03-03,23:26:51
84,"RT @theQuietus: 'Christopher Alder was killed in police custody in Hull. Why it is that we\xe2\x80\x99re more likely to hear about American cases of i\xe2\x80\xa6""",2021-03-03,23:26:49
