2021-03-03 23:57:45,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:43,"b'RT @sjjphd: \xe2\x80\x9cBut what do protests even accomplish???\xe2\x80\x9d \n\nWell saving actual lives, for one.\n\nhttps://t.co/632p3J9LmO'"
2021-03-03 23:57:41,"b""@0313RealT Gatorade, a sub company of Fortune 100's Pepsi Co. pledged $500,000 to BLM\nhttps://t.co/ODodSlB7Nn"""
2021-03-03 23:57:31,b'RT @darrengrimes_: Through @antmiddleton\xe2\x80\x99s writing and openness about PTSD and mental health he\xe2\x80\x99s no doubt helped many people understand th\xe2\x80\xa6'
2021-03-03 23:57:30,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:26,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:22,b'Mike Brown\xe2\x80\x99s Father And Ferguson Protesters Demand $20 Million From Black Lives Matter https://t.co/eCJ5N41QEs via @dailycaller'
2021-03-03 23:57:22,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:17,"b'RT @sjjphd: \xe2\x80\x9cBut what do protests even accomplish???\xe2\x80\x9d \n\nWell saving actual lives, for one.\n\nhttps://t.co/632p3J9LmO'"
2021-03-03 23:57:16,b'RT @common: BLACK. LIVES. MATTER.'
2021-03-03 23:57:14,"b'RT @sjjphd: \xe2\x80\x9cBut what do protests even accomplish???\xe2\x80\x9d \n\nWell saving actual lives, for one.\n\nhttps://t.co/632p3J9LmO'"
2021-03-03 23:57:10,"b""'Where is all that money going?' Michael Brown's father says Black Lives Matter abandoned Ferguson activists, deman\xe2\x80\xa6 https://t.co/NokyVX6DTt"""
2021-03-03 23:57:09,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:07,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:04,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:04,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:03,b'RT @UROCKlive1: Walker said during his testimony that it was \xe2\x80\x9cunusual\xe2\x80\x9d that the request to have the National Guard on standby was turned do\xe2\x80\xa6'
2021-03-03 23:57:02,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:02,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:57:02,b'RT @UROCKlive1: Walker said during his testimony that it was \xe2\x80\x9cunusual\xe2\x80\x9d that the request to have the National Guard on standby was turned do\xe2\x80\xa6'
2021-03-03 23:57:01,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:56:59,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:56:57,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
2021-03-03 23:56:57,b'RT @BreeNewsome: FBI created an entire terrorism designation of \xe2\x80\x9cBlack Identity Extremists\xe2\x80\x9d in response to Black Lives Matter mvmt but they\xe2\x80\xa6'
